Sample,Group,Genotype
LH38_Z1_1,Z1,LH38
LH38_Z1_2,Z1,LH38
LH38_Z1_4,Z1,LH38
LH38_Z2_1,Z2,LH38
LH38_Z2_2,Z2,LH38
LH38_Z2_4,Z2,LH38
LH38_Z3_2,Z3,LH38
LH38_Z3_3,Z3,LH38
LH38_Z3_4,Z3,LH38
LH39_Z1_2,Z1,LH39
LH39_Z1_3,Z1,LH39
LH39_Z1_4,Z1,LH39
LH39_Z2_1,Z2,LH39
LH39_Z2_2,Z2,LH39
LH39_Z2_4,Z2,LH39
LH39_Z3_1,Z3,LH39
LH39_Z3_2,Z3,LH39
LH39_Z3_4,Z3,LH39
A9_Z1_2,Z1,A9
A9_Z1_3,Z1,A9
A9_Z1_4,Z1,A9
A9_Z2_2,Z2,A9
A9_Z2_3,Z2,A9
A9_Z2_4,Z2,A9
A9_Z3_1,Z3,A9
A9_Z3_2,Z3,A9
A9_Z3_4,Z3,A9
787_Z1_1,Z1,787
787_Z1_2,Z1,787
787_Z1_4,Z1,787
787_Z2_1,Z2,787
787_Z2_2,Z2,787
787_Z2_4,Z2,787
787_Z3_1,Z3,787
787_Z3_2,Z3,787
787_Z3_3,Z3,787
IB014_Z1_1,Z1,IB014
IB014_Z1_2,Z1,IB014
IB014_Z1_4,Z1,IB014
IB014_Z2_1,Z2,IB014
IB014_Z2_2,Z2,IB014
IB014_Z2_3,Z2,IB014
IB014_Z3_1,Z3,IB014
IB014_Z3_2,Z3,IB014
IB014_Z3_4,Z3,IB014
PHN11_Z1_1,Z1,PHN11
PHN11_Z1_2,Z1,PHN11
PHN11_Z1_3,Z1,PHN11
PHN11_Z2_1,Z2,PHN11
PHN11_Z2_2,Z2,PHN11
PHN11_Z2_3,Z2,PHN11
PHN11_Z3_1,Z3,PHN11
PHN11_Z3_2,Z3,PHN11
PHN11_Z3_4,Z3,PHN11
PHJ75_Z1_1,Z1,PHJ75
PHJ75_Z1_2,Z1,PHJ75
PHJ75_Z1_4,Z1,PHJ75
PHJ75_Z2_1,Z2,PHJ75
PHJ75_Z2_2,Z2,PHJ75
PHJ75_Z2_3,Z2,PHJ75
PHJ75_Z3_1,Z3,PHJ75
PHJ75_Z3_2,Z3,PHJ75
PHJ75_Z3_3,Z3,PHJ75
